Date,Open,High,Low,Close,Adj Close,Volume
2016-10-05,150.162521,150.889099,149.827911,150.172089,119.900604,1761987
2016-10-06,149.942642,150.506699,149.034424,149.980881,119.747948,2039805
2016-10-07,150.229446,150.764816,148.049713,148.824097,118.824341,2794807
2016-10-10,149.818359,151.520081,149.770554,150.114716,119.854782,2595440
2016-10-11,149.837479,150.047806,147.122375,147.982788,118.152596,3034760
2016-10-12,148.154877,148.154877,146.347992,147.504776,117.770950,3100344
2016-10-13,146.940720,147.437866,145.573608,146.959854,117.335869,3043755
2016-10-14,147.676865,148.690247,147.313583,147.657745,117.893120,4558677
2016-10-17,147.657745,149.034424,147.552582,147.963669,118.137352,6161358
2016-10-18,143.422562,144.359467,141.290634,144.091782,115.045952,13358048
2016-10-19,144.617584,145.745697,144.196945,144.608032,115.458153,4846013
2016-10-20,144.627151,146.175903,144.378586,144.856598,115.656624,4208163
2016-10-21,143.957932,144.502869,142.982788,143.049713,114.213966,4617253
2016-10-24,143.785858,144.856598,143.785858,143.948380,114.931458,2789368
2016-10-25,143.948380,144.512421,143.240921,144.244736,115.168083,2769285
2016-10-26,144.082214,146.214142,143.652008,145.133850,115.877960,2941038
2016-10-27,146.099426,147.284897,145.334610,146.606125,117.053497,4423848
2016-10-28,147.275330,147.648178,145.487579,145.898666,116.488609,3822607
2016-10-31,146.042068,147.543015,146.042068,146.931168,117.312950,3716647
2016-11-01,146.749527,147.141495,145.066925,146.070740,116.626007,3338727
2016-11-02,145.774384,146.606125,145.000000,145.267685,115.984818,3215822
2016-11-03,145.803055,146.978973,145.124283,145.669220,116.305428,3011225
2016-11-04,145.697891,146.883362,145.191208,145.726578,116.351189,2584038
2016-11-07,147.217972,149.244736,147.074570,148.871887,118.862473,3979925
2016-11-08,147.762909,149.072662,146.328873,148.346085,119.517220,4102307
2016-11-09,146.233276,148.718933,144.359467,148.001907,119.239914,5652270
2016-11-10,150.726578,154.072662,150.659653,153.173996,123.406898,8070727
2016-11-11,152.934998,154.244736,152.323135,154.177826,124.215622,4651144
2016-11-14,154.158707,154.741867,150.650101,151.252396,121.858727,5435539
2016-11-15,151.453156,152.151047,150.621414,151.692154,122.213005,3636942
2016-11-16,151.491394,152.533463,151.080307,152.284897,122.690552,2356429
2016-11-17,152.217972,152.896744,151.864243,152.772461,123.083366,2365215
2016-11-18,152.772461,153.652008,152.208420,153.336517,123.537811,3118754
2016-11-21,153.623322,155.831741,153.317398,155.611862,125.370987,4850407
2016-11-22,155.831741,155.831741,154.827911,155.516251,125.293953,2898257
2016-11-23,154.818359,155.238998,154.263855,154.856598,124.762489,2356324
2016-11-25,154.713196,156.013382,154.713196,155.965576,125.655975,1679144
2016-11-28,156.022949,157.418732,155.544937,157.284897,126.718880,4654072
2016-11-29,156.787766,157.179733,155.860428,156.338425,125.956322,3293017
2016-11-30,156.166351,156.596558,155.076477,155.086044,124.947319,4600099
2016-12-01,154.827911,155.066925,151.338425,152.791580,123.098755,4848942
2016-12-02,152.007645,153.240921,151.443588,152.982788,123.252838,2866981
2016-12-05,153.776291,154.063095,152.571701,152.810699,123.114204,3605667
2016-12-06,153.087952,153.718933,151.940720,153.298279,123.507011,2990514
2016-12-07,153.537292,157.915863,153.336517,157.543015,126.926849,4639115
2016-12-08,157.619507,158.699814,156.998093,158.087952,127.365868,3416654
2016-12-09,157.915863,159.388138,157.361374,159.196945,128.259354,3291657
2016-12-12,159.388138,159.455063,157.810699,158.221802,127.473732,3548346
2016-12-13,158.393875,162.476105,158.393875,160.889099,129.622696,6205186
2016-12-14,160.965576,162.418732,160.086044,161.099426,129.792099,4313913
2016-12-15,160.621414,162.380493,160.401535,160.630981,129.414719,3544476
2016-12-16,161.539200,161.673035,158.757172,159.397705,128.421127,7448148
2016-12-19,159.493301,159.904404,158.699814,159.349899,128.382584,3091871
2016-12-20,160.124283,160.850861,159.130020,160.229446,129.091217,2274632
2016-12-21,158.938812,160.554489,157.982788,159.971313,128.883194,3740182
2016-12-22,160.000000,160.831741,159.254303,159.713196,128.675293,2931520
2016-12-23,159.655838,160.124283,159.130020,159.378586,128.405701,1779455
2016-12-27,159.636703,160.592728,159.512421,159.789673,128.736862,1461785
2016-12-28,159.933075,160.363297,158.699814,158.881454,128.005157,1838345
2016-12-29,158.718933,159.646271,158.699814,159.273422,128.320953,1740021
2016-12-30,159.120453,159.369019,158.221802,158.690247,127.851112,3088629
2017-01-03,159.655838,160.487579,158.709366,159.837479,128.775436,3069278
2017-01-04,160.391968,162.399612,160.000000,161.816437,130.369781,3536944
2017-01-05,161.806885,161.940720,159.904404,161.281067,129.938461,2805686
2017-01-06,161.271515,162.447418,160.152969,162.074570,130.577789,3080993
2017-01-09,162.017212,162.332703,160.248566,160.277252,129.129700,3336635
2017-01-10,160.592728,160.697891,158.068832,158.240921,127.489120,4308160
2017-01-11,158.747604,160.382416,158.317398,160.372849,129.206757,3765077
2017-01-12,160.391968,160.621414,158.279160,160.564056,129.360779,3062165
2017-01-13,160.583176,161.070740,159.541107,159.980881,128.890961,3007668
2017-01-17,159.359467,160.783936,158.814529,160.506699,129.314560,3468222
